samples,frequencies,BPM
-0.0010333892,1,
-0.0018061438,2,
0.011976204,1,
0.017523868,1,
-0.02252325,1,
-6.7541853E-4,24,
-0.0056345733,2,
0.004388238,1,
-0.0011538144,16,
-0.0021967278,60,
0.012173874,1,
-0.010326327,1,
0.015732145,2,
0.004402094,1,
-0.0049299877,1,
0.02393066,1,
-0.0046855775,1,
-0.013117352,2,
-0.0064570103,1,
0.008670792,1,
0.0021763132,1,
0.0010930945,1,
0.008974627,1,
-0.0022198244,1,
-0.018951073,1,
6.190862E-4,1,
0.004833193,1,
0.011945835,1,
-4.1506722E-4,3,
0.0023472358,3,
0.014922162,2,
0.0033024738,6,
-0.00614642,2,
0.0016259401,2,
-0.0039310893,1,
8.021087E-6,1,
0.0012225807,1,
6.763294E-4,14,
5.27203E-4,7,
0.001219114,10,
8.1287767E-4,7,
7.9205324E-4,8,
7.1941304E-4,8,
3.489426E-4,10,
7.9704553E-4,15,
4.7620205E-4,5,
3.3265498E-4,7,
-6.540349E-5,38,
-1.3948341E-4,7,
-6.696469E-5,8,
2.9543915E-4,16,
1.2984799E-4,5,
2.0759687E-4,14,
3.9330148E-4,5,
-3.787041E-4,20,
8.4043783E-4,15,
-2.0480846E-4,8,
6.218999E-5,23,
-1.2939253E-4,16,
6.9037014E-5,5,
3.8675807E-5,19,
3.741369E-4,14,
-2.8261048E-4,21,
-3.0578813E-5,10,
4.761489E-4,8,
-3.3120005E-4,5,
1.820888E-4,18,
3.0824504E-4,7,
3.3908702E-5,8,
-1.0105557E-4,20,
2.7291937E-5,8,
2.7630746E-4,5,
8.9947505E-5,15,
-2.668441E-4,15,
4.6936263E-4,8,
1.5887825E-5,7,
-1.8929006E-4,8,
1.3113086E-4,13,
-4.2209387E-4,14,
2.8516861E-4,14,
1.4986275E-4,15,
2.3122744E-4,16,
-1.0462078E-4,16,
-1.2427117E-4,7,
-4.1722556E-4,8,
1.3591567E-4,14,
-3.5297842E-6,15,
-5.9475726E-4,16,
1.1225979E-4,16,
6.218847E-4,8,
-2.6441753E-6,12,
-2.9717747E-4,16,
-4.2251137E-5,13,
1.4583956E-4,16,
1.1079474E-4,18,
5.900509E-4,18,
-6.3631E-4,16,
1.493415E-4,18,
1.7754942E-4,18,
2.4932422E-4,16,
-4.116766E-4,5,
1.9939865E-4,22,
-2.8302037E-4,14,
9.452484E-5,15,
1.02695216E-4,32,
7.737439E-5,16,
-3.4135164E-4,16,
1.21224686E-4,20,
-5.264819E-5,16,
-4.2929262E-4,15,
5.977936E-4,16,
-6.7010487E-4,15,
-2.2862374E-4,20,
2.0434035E-4,18,
1.9659253E-4,12,
-5.0605217E-4,14,
8.4466854E-4,15,
-2.266248E-4,15,
-5.210493E-4,18,
6.240684E-4,10,
-3.4966625E-4,16,
4.1562642E-4,18,
-4.7011918E-4,7,
7.0402876E-4,8,
-6.498953E-4,22,
1.1929659E-4,14,
8.392992E-4,8,
4.7324412E-4,13,
0.0011511625,8,
-0.00134377,10,
-0.0015747595,10,
8.0383185E-4,3,
-1.4708194E-4,15,
2.5407868E-4,15,
0.0013276367,16,
-0.0013704116,10,
1.1192832E-4,20,
4.5734365E-4,13,
0.0012910003,7,
-0.0019385474,13,
-7.900897E-4,12,
4.7074418E-4,9,
9.363341E-4,12,
-9.790027E-5,8,
-0.0026514246,9,
0.003959226,18,
-3.7194818E-4,13,
-0.0018987431,13,
2.2781911E-4,13,
4.167119E-4,7,
-2.3782396E-4,7,
-4.8098687E-4,8,
0.0015468248,13,
0.001055413,10,
-5.324256E-4,14,
-5.2662863E-4,14,
-4.6022568E-4,15,
0.0017741531,8,
-0.0014819881,12,
6.89606E-4,16,
-2.3114141E-4,10,
-7.03715E-4,6,
5.749702E-4,12,
3.9971076E-4,7,
3.0467478E-5,18,
0.0011267982,15,
-3.5811748E-4,9,
0.0016315422,8,
0.0015432065,9,
-5.8942335E-4,11,
0.0010361675,12,
-0.0018728807,7,
0.0031098083,7,
-0.0020512906,8,
8.8622636E-4,15,
-2.937818E-4,16,
4.4897338E-4,10,
0.0031034749,7,
0.0022697551,14,
-0.0036412824,15,
7.9578796E-4,10,
-0.0014429631,9,
6.845074E-4,10,
0.0011657145,27,
-9.566601E-4,7,
-0.00237765,15,
0.0060298936,8,
-3.2996273E-4,10,
-0.0022395228,9,
0.0025132874,10,
4.8497212E-4,13,
-9.2749065E-4,10,
0.0017504415,11,
-7.5304596E-4,7,
-0.0014680258,12,
-0.0013559433,7,
-0.0019350556,13,
1.9367256E-4,15,
-3.5147037E-4,16,
0.0021556204,16,
7.374086E-5,10,
-0.0016992685,21,
-0.0026062028,5,
-0.0036222646,17,
6.442982E-4,8,
0.002683924,4,
-0.0015463593,10,
-0.0012381142,5,
0.0021833095,5,
-0.0017535184,20,
-9.5404376E-4,16,
4.6038255E-4,9,
9.177515E-4,22,
4.4381153E-4,27,
0.0011388678,37,
8.382922E-6,8,
-3.3953742E-4,20,
2.9944463E-4,20,
0.0047069583,20,
-0.014638562,1,
-0.028107796,1,
0.004334937,1,
0.005077371,1,
-0.01647686,1,
0.008279336,2,
-0.027399462,1,
0.004806817,1,
0.0036397642,1,
-0.0037941386,1,
-0.004895287,1,
0.013358295,1,
-0.010293379,1,
-0.006734866,1,
0.00417993,1,
0.02112215,1,
-0.027781308,1,
0.019666182,1,
-0.018675387,1,
7.239904E-4,1,
-0.0016972317,1,
0.01594705,1,
-0.006784334,1,
-0.012113777,1,
5.908631E-4,3,
0.0020383985,1,
-0.0072829244,1,
-0.00479809,1,
-0.0040839147,1,
0.0195949,1,
-0.0064602667,1,
0.014695539,1,
-0.02845621,1,
-0.0062367315,1,
-0.0422955,1,
-4.4829525E-5,1,
0.002260823,1,
0.018786734,1,
-0.011286238,1,
-4.399351E-4,1,
0.02767071,1,
0.017418083,9,
0.014248345,14,
0.015825534,8,
0.011913761,21,
0.019500943,4,
9.776971E-4,1,
0.010567349,21,
0.006599348,9,
0.009680969,21,
0.015750738,24,
0.011172886,1,
0.0037636054,1,
-0.018142818,1,
-0.00528434,1,
0.023315318,1,
0.0039843065,1,
0.01486794,1,
-0.00938459,1,
-0.030888,1,
0.022430575,1,
0.0074054394,1,
0.01016106,1,
0.025952151,1,
-0.00935157,1,
0.02658131,2,
-0.004103274,1,
0.004151932,24,
-0.009712817,1,
0.0077837235,20,
0.0021428473,18,
-0.009157076,260,
-0.008674472,1,
0.025009828,1,
0.006858133,1,
-4.878162E-4,1,
-0.009413474,1,
-0.013754048,1,
0.009595231,1,
0.0049430314,1,
0.0035254827,1,
0.02728399,3,
0.0012858257,1,
-0.024816621,1,
-0.00458292,1,
9.2749065E-4,1,
-1.42658955E-5,1,
5.381542E-4,1,
0.004350387,1,
0.012152966,1,
-0.0028625943,2,
-0.00795689,2,
0.012424917,2,
0.0015735829,1,
-0.0016088984,1,
-0.002380537,1,
-0.0032488464,1,
-0.015196723,1,
0.0046276203,1,
0.0032723453,1,
0.018674094,3,
0.0074934284,1,
-0.008676442,1,
-0.0012466641,2,
-0.025107471,1,
0.0070104045,1,
0.03246537,1,
-0.012895714,0,
2.1188827E-5,1,
-0.0043464573,1,
-0.0031736935,1,
-0.0357454,1,
0.010661687,1,
-0.0067976103,1,
7.195598E-4,1,
0.0025998822,1,
0.027405992,1,
0.0017122363,1,
-0.004270161,1,
6.809118E-4,1,
-0.0038496586,1,
-0.0017392525,1,
-0.003052522,1,
-0.01825961,1,
-0.0012434177,1,
0.03224529,1,
-0.017876837,1,
-0.0060028243,1,
-3.788281E-4,1,
-0.0047853854,1,
-0.0072075133,3,
9.388366E-4,1,
0.015563887,1,
0.005530924,2,
0.0028427744,1,
0.0022613492,1,
-0.0045708604,1,
-4.6148323E-4,7,
-4.585936E-5,8,
0.0076555456,5,
-0.0044921753,10,
4.9148766E-5,9,
-5.981226E-4,5,
0.0071493466,20,
-0.008872886,1,
9.309016E-6,2,
0.005279674,16,
-0.0070514334,1,
1.7622353E-4,1,
0.012977575,3,
-0.014008755,1,
0.001279495,1,
7.4823835E-4,9,
-0.003907929,8,
0.0060076094,162,
4.874164E-4,8,
-0.00370848,9,
0.0035667773,114,
0.0018060983,7,
-0.008861481,15,
-0.001199904,10,
0.002028644,8,
-0.0066683497,2,
-0.0018802136,1,
6.025557E-4,2,
0.0024880678,2,
-3.821529E-5,62,
-0.0045286855,2,
0.0030976096,12,
-3.53735E-4,16,
8.5956196E-4,8,
8.1395305E-4,2,
-0.0014960213,2,
0.007854671,17,
0.018311907,13,
-0.015764019,1,
0.0034247232,4,
-0.0051401504,1,
7.5409096E-4,7,
-0.0045729075,9,
0.004609235,1,
-9.8461E-4,8,
3.3371517E-4,8,
0.0017201942,5,
-0.0012732071,20,
0.0016959639,20,
0.0018269834,20,
0.0017134004,2,
-0.005170494,2,
-0.0048549185,1,
0.0032857459,1,
-0.0016457777,1,
-0.0018018094,1,
0.0021079213,1,
-6.33843E-6,1,
0.0013911525,1,
5.475062E-4,20,
5.04496E-4,20,
6.887634E-4,20,
3.302866E-4,24,
2.93883E-4,20,
1.9817398E-4,24,
0.0,0,
0.0,0,
0.0,0,
