samples,frequencies,BPM
0,21,75
-7.19E-05,21,
7.27E-04,21,
7.92E-04,21,
0.007781396,21,
-0.014576252,21,
0.013331194,21,
-0.008407886,21,
0.016540233,21,
0.003693507,21,
0.040196054,4,
0.22346027,4,
-0.6008374,4,
0.25329384,4,
0.23358272,4,
-0.653134,4,
0.9352713,4,
-0.7120259,4,
-0.0682285,4,
0.78645384,4,
-0.5676677,3,
-0.6153271,3,
1.0701661,3,
0.19872841,3,
-1.1564044,3,
-0.03355584,3,
1.220616,3,
0.10164906,3,
-1.3272635,3,
-0.07641719,3,
0.84638447,2,
0.82143813,2,
-0.5320775,2,
-1.4060502,2,
0.15052737,2,
0.7823152,2,
1.259348,2,
-0.65174073,2,
-0.8021431,2,
-1.121893,2,
0.71819186,2,
1.1316267,2,
0.6085959,2,
-0.16392429,2,
-1.4595692,2,
-0.2997372,2,
-0.476407,2,
1.2036386,2,
1.0382309,2,
-0.049115695,1,
-0.07075764,1,
-1.1218579,1,
-0.92832065,1,
0.2866698,1,
0.38091043,1,
0.81403935,1,
0.9904961,1,
-0.19547477,1,
-0.8464473,1,
-0.3691858,1,
-0.87911546,1,
-0.275687,1,
0.77758527,1,
0.81633407,1,
0.2615289,1,
0.6038768,1,
-0.09541409,1,
-0.965911,1,
-0.72207963,1,
-0.1427665,1,
-0.25026557,1,
0.12803268,1,
0.891564,1,
0.7245184,1,
0.18237011,1,
-0.060499046,1,
-0.11618717,1,
-0.64533764,1,
-0.8221195,1,
-0.24993075,1,
0.047872104,1,
0.3646968,1,
0.3420777,1,
0.76055706,1,
0.3318769,1,
0.090077326,1,
-0.22161601,1,
-0.53761935,1,
-0.48411414,1,
-0.4719168,1,
-0.08821282,1,
0.011021247,1,
0.30630288,1,
0.541405,1,
0.60447633,1,
0.092092074,1,
-0.018865146,1,
-0.036945637,1,
-0.2748369,1,
-0.5073732,1,
-0.5724446,1,
-0.016251784,1,
0.13469608,1,
0.09026043,1,
0.2816385,1,
0.40608832,1,
0.508255,1,
0.005576794,1,
-0.15523587,1,
-0.139176,1,
-0.21256138,1,
-0.33630165,1,
-0.3796416,1,
-0.122945055,1,
0.21266937,1,
0.1510893,1,
0.17692624,1,
0.23214017,1,
0.28893045,1,
0.20005593,1,
-0.17727222,1,
-0.18647003,1,
-0.124111176,1,
-0.15742904,1,
-0.24560311,1,
-0.15803382,1,
0.030465053,1,
0.17015134,1,
0.15528987,1,
0.095480405,1,
0.16630524,1,
0.16369893,1,
0.048750658,1,
-0.1597924,1,
-0.10822237,1,
-0.101682514,1,
-0.10850525,1,
-0.120240726,1,
-0.09340639,1,
0.020286854,1,
0.16904038,1,
0.09793942,1,
0.06784967,1,
0.073388025,1,
0.084071234,1,
0.051612265,1,
-0.08911867,1,
-0.12664737,1,
-0.061562173,1,
-0.05820377,1,
-0.06309157,1,
